"Autó","Évjárat","Motor","Teljesítmény","Rendszám","Km állás","Ár","Kép"
"Ford Mondeo","2009","1997 ccm dízel","103 kW","MA-899CN ford-mondeo-8.pdf","211 000 km arak-14.md","860 000 Ft arak-14.md","Nincs"
"Ford Kuga Titanium","2011","1997 ccm dízel","103 kW","WB-644DJ Ford-Kuga-Titanium-7.pdf","138 000 km arak-14.md","1 549 000 Ft arak-14.md","Nincs"
"Seat Alhambra","2015","1968 ccm dízel","110 kW","WZ-692CE Seat-Alhambra-2015-10.pdf","290 000 km arak-14.md","3 000 000 Ft arak-14.md","Nincs"
"Audi A4 Avant","2017","1968 ccm dízel","140 kW","BR-25110 AUdi-a4-AVANT-2017-DESIGN-S-TRONIC-2.pdf","187 143 km arak-14.md","300 000 Ft* arak-14.md","Van"
"Jaguar F-Pace 20d AWD","2017","1999 ccm dízel","132 kW","BN-404DK Jaguar-F-Pace-2017-9.pdf","88 000 km arak-14.md","6 900 000 Ft arak-14.md","Nincs"
"Citroën Jumpy Spacetourer","2017","1997 ccm dízel","110 kW","NK-837DW Citroen-J-spacetourer2017-6.pdf","156 000 km arak-14.md","7 500 000 Ft arak-14.md","Nincs"
"BMW F11 525d","2011","1995 ccm dízel","—","OW-530CE BMW-f11-525D-2011-3.pdf","n.a.","3 300 000 Ft (becsült) arak-14.md","Nincs"
"BMW F11 530d xDrive","2011","2993 ccm dízel","190 kW","SO-B47DY BMW-f11-530d-aura-931-4.pdf","528 000 km (?) arak-14.md","2 900 000 Ft (Combi) arak-14.md","Nincs"
"BMW F11 (N47, fehér)","2011/12","1995 ccm dízel","160 kW","BL-969FY BMW-f11-n47-feher-5.pdf","n.a.","3 800 000 Ft (becsült) arak-14.md","Nincs"
"Skoda Octavia DSG","2020","1968 ccm dízel","110 kW","HO-534CJ Skoda-octavia-2020-DSG-11.pdf","293 600 km arak-14.md","5 000 000 Ft arak-14.md","Nincs"
"Skoda Octavia kézi","2022","n.a.","n.a.","MD-818LI SKODA-OKTAVIA-2022-Kezi-valto-12.pdf","217 700 km arak-14.md","5 300 000 Ft arak-14.md","Nincs"
"Subaru XV","2012","1998 ccm dízel","80 kW","GU-984MR subaru-xv-13.pdf","237 170 km arak-14.md","1 800 000 Ft arak-14.md","Nincs"
"BMW X6 4.0D","–","–","–","nincs forgalmi PDF","325 000 km arak-14.md","5 000 000 Ft arak-14.md","Nincs"
